N, Insert, Lookup, Remove
500,1.0715e-05,1.23e-07,3.811e-06
501,6.657e-06,1.27e-07,1.748e-06
502,7.017e-06,1.21e-07,3.847e-06
503,6.238e-06,1.2e-07,2.137e-06
504,9.407e-06,1.24e-07,3.844e-06
505,5.435e-06,1.23e-07,2.534e-06
506,7.655e-06,1.15e-07,2.229e-06
507,5.275e-06,1.29e-07,2.278e-06
508,7.754e-06,1.2e-07,3.467e-06
509,7.55e-06,1.19e-07,2.219e-06
510,5.477e-06,1.23e-07,2.658e-06
511,8.835e-06,1.29e-07,4.13e-06
512,6.353e-06,1.21e-07,2.922e-06
513,7.512e-06,1.22e-07,2.964e-06
514,4.707e-06,1.63e-07,1.861e-06
515,7.843e-06,1.19e-07,2.092e-06
516,7.246e-06,1.19e-07,1.705e-06
517,7.557e-06,1.21e-07,3.831e-06
518,9.233e-06,1.18e-07,3.039e-06
519,7.161e-06,1.16e-07,3.841e-06
520,5.97e-06,1.28e-07,1.326e-06
521,5.014e-06,1.2e-07,2.268e-06
522,6.348e-06,1.19e-07,2.255e-06
523,5.792e-06,1.21e-07,2.254e-06
524,1.1966e-05,1.16e-07,4.188e-06
525,6.736e-06,1.25e-07,3.479e-06
526,3.714e-06,1.17e-07,2.139e-06
527,1.0595e-05,1.2e-07,3.345e-06
528,6.247e-06,1.2e-07,2.475e-06
529,8.24e-06,1.29e-07,3.152e-06
530,7.154e-06,1.22e-07,3.142e-06
531,8.838e-06,1.18e-07,3.496e-06
532,4.932e-06,1.21e-07,2.464e-06
533,5.446e-06,1.23e-07,1.688e-06
534,1.0311e-05,1.19e-07,1.285e-06
535,1.1048e-05,1.23e-07,4.171e-06
536,3.993e-06,1.3e-07,2.171e-06
537,1.0259e-05,1.26e-07,2.648e-06
538,4.624e-06,1.21e-07,1.75e-06
539,7.542e-06,1.22e-07,2.613e-06
540,7.483e-06,1.25e-07,2.426e-06
541,5.302e-06,1.19e-07,2.091e-06
542,1.172e-05,1.22e-07,4.957e-06
543,7.175e-06,1.21e-07,3.479e-06
544,6.013e-06,1.3e-07,2.53e-06
545,8.939e-06,1.32e-07,3.109e-06
546,6.551e-06,1.18e-07,2.524e-06
547,7.79e-06,1.22e-07,3.45e-06
548,9.029e-06,1.23e-07,8.87e-07
549,3.888e-06,1.19e-07,1.712e-06
550,8.493e-06,1.2e-07,4.177e-06
551,8.644e-06,1.16e-07,1.855e-06
552,6.126e-06,1.19e-07,2.8e-06
553,9.235e-06,1.18e-07,3.299e-06
554,5.438e-06,1.3e-07,3.082e-06
555,8.611e-06,1.26e-07,3.733e-06
556,6.972e-06,1.31e-07,2.757e-06
557,6.212e-06,1.27e-07,3.057e-06
558,4.177e-06,1.46e-07,1.929e-06
559,8.217e-06,1.18e-07,2.118e-06
560,1.4436e-05,1.23e-07,2.45e-06
561,1.1082e-05,1.23e-07,4.836e-06
562,5.423e-06,1.19e-07,1.749e-06
563,6.213e-06,1.19e-07,2.474e-06
564,5.94e-06,1.42e-07,2.933e-06
565,9.953e-06,1.17e-07,2.606e-06
566,7.709e-06,1.22e-07,3.803e-06
567,8.541e-06,1.29e-07,3.418e-06
568,9.91e-06,1.31e-07,3.073e-06
569,7.279e-06,1.22e-07,3.386e-06
570,8.495e-06,1.21e-07,2.091e-06
571,5.823e-06,1.31e-07,2.668e-06
572,6.37e-06,1.16e-07,2.589e-06
573,7.492e-06,1.19e-07,1.67e-06
574,4.819e-06,1.22e-07,2.04e-06
575,6.704e-06,1.2e-07,2.523e-06
576,1.5093e-05,1.19e-07,6.01e-06
577,6.252e-06,1.19e-07,2.53e-06
578,6.792e-06,1.2e-07,2.582e-06
579,9.148e-06,1.2e-07,1.743e-06
580,7.044e-06,1.15e-07,2.407e-06
581,6.778e-06,1.22e-07,2.058e-06
582,7.955e-06,1.19e-07,1.87e-06
583,5.43e-06,1.22e-07,2.12e-06
584,4.951e-06,1.24e-07,2.109e-06
585,7.221e-06,1.21e-07,3.808e-06
586,6.802e-06,1.19e-07,2.062e-06
587,5.834e-06,1.16e-07,2.5e-06
588,1.0039e-05,1.2e-07,2.084e-06
589,1.1879e-05,1.22e-07,4.524e-06
590,9.037e-06,1.25e-07,3.326e-06
591,1.143e-05,1.21e-07,2.893e-06
592,7.937e-06,1.21e-07,2.878e-06
593,7.988e-06,1.22e-07,4.924e-06
594,8.715e-06,1.22e-07,3.484e-06
595,7.237e-06,1.23e-07,1.712e-06
596,6.47e-06,1.22e-07,1.648e-06
597,1.0128e-05,1.18e-07,4.115e-06
598,8.691e-06,1.26e-07,3.349e-06
599,1.4321e-05,1.19e-07,4.811e-06
600,4.942e-06,1.22e-07,2.078e-06
601,1.1668e-05,1.32e-07,2.464e-06
602,8.486e-06,1.25e-07,3.988e-06
